Titel,Datum,Ort,Link,Kategorie,Adresse,lat,lon,Datum/Uhrzeit
"SingAlong Köln (Hits der 90er & 2000er), 21.01.2025","Tue, Jan 21, 8:00 PM",QUATER 1,https://www.eventbrite.de/e/singalong-koln-hits-der-90er-2000er-21012025-tickets-1058023890939?aff=ebdssbcitybrowsenightlife,music,Quatermarkt 1 50667 Köln,50.936763049999996,6.957436177246654,
fi = altshift5 w/ Len Faki & Vement,"Fri, Jan 24, 11:00 PM",fi,https://www.eventbrite.de/e/fi-altshift5-w-len-faki-vement-tickets-1116675659959?aff=ebdssbcitybrowsenightlife,music,Widdersdorfer Straße 246 50825 Köln,50.9482294,6.892987255703424,
GIRLS 01.02.25 Kunstbar Köln,"Sat, Feb 1, 11:00 PM",die kunstbar,https://www.eventbrite.de/e/girls-010225-kunstbar-koln-tickets-1120718893379?aff=ebdssbcitybrowsenightlife,arts,Chargesheimerplatz 1 50667 Köln,50.9420225,6.958645810456811,
Wilde Herzen • Indie Pop Party mit deutschen Texten //  Helios 37 Köln,"Fri, Feb 7, 11:00 PM",Helios 37,https://www.eventbrite.de/e/wilde-herzen-indie-pop-party-mit-deutschen-texten-helios-37-koln-tickets-1053385968789?aff=ebdssbcitybrowsenightlife,music,Heliosstraße 37 50825 Köln,50.95018235,6.913339699099733,
"SingAlong Köln (Hits der 90er & 2000er), 21.01.2025","Tue, Jan 21, 8:00 PM",QUATER 1,https://www.eventbrite.de/e/singalong-koln-hits-der-90er-2000er-21012025-tickets-1058023890939?aff=ebdssbcitybrowsenightlife,music,Quatermarkt 1 50667 Köln,50.936763049999996,6.957436177246654,
fi = altshift5 w/ Len Faki & Vement,"Fri, Jan 24, 11:00 PM",fi,https://www.eventbrite.de/e/fi-altshift5-w-len-faki-vement-tickets-1116675659959?aff=ebdssbcitybrowsenightlife,music,Widdersdorfer Straße 246 50825 Köln,50.9482294,6.892987255703424,
GIRLS 01.02.25 Kunstbar Köln,"Sat, Feb 1, 11:00 PM",die kunstbar,https://www.eventbrite.de/e/girls-010225-kunstbar-koln-tickets-1120718893379?aff=ebdssbcitybrowsenightlife,arts,Chargesheimerplatz 1 50667 Köln,50.9420225,6.958645810456811,
Wilde Herzen • Indie Pop Party mit deutschen Texten //  Helios 37 Köln,"Fri, Feb 7, 11:00 PM",Helios 37,https://www.eventbrite.de/e/wilde-herzen-indie-pop-party-mit-deutschen-texten-helios-37-koln-tickets-1053385968789?aff=ebdssbcitybrowsenightlife,music,Heliosstraße 37 50825 Köln,50.95018235,6.913339699099733,
Design Post@ PASSAGEN Interior Design Week Köln 2025,"Fri, Jan 10, 5:00 PM",DESIGN POST KÖLN GmbH + Co KG,https://www.eventbrite.de/e/design-post-passagen-interior-design-week-koln-2025-tickets-1132616970849?aff=ebdssbcitybrowse,business,Deutz-Mülheimer Straße 22A 50679 Köln,50.939520599999994,6.9789922,
Screening and Discussion: Audre Lorde - The Berlin Years 1984-1992,Donnerstag um 18:30,Filmforum NRW,https://www.eventbrite.de/e/screening-and-discussion-audre-lorde-the-berlin-years-1984-1992-tickets-1116562140419?aff=ebdssbcitybrowse,film-and-media,Bischofsgartenstraße 1 50667 Köln,50.9406158,6.960824,
Startup Your Idea Contest - Das Finale,"Thu, Jan 23, 5:00 PM",Universität zu Köln,https://www.eventbrite.de/e/startup-your-idea-contest-das-finale-tickets-1053624612579?aff=ebdssbcitybrowse,business,Albertus-Magnus-Platz 50923 Köln,50.92780325,6.927622223468199,
European Connect Trail Film Premiere,"Fri, Jan 31, 7:30 PM",Residenz- Eine Astor Filmlounge,https://www.eventbrite.com/e/european-connect-trail-film-premiere-tickets-1127483175529?aff=ebdssbcitybrowse,film-and-media,Kaiser-Wilhelm-Ring 30 - 32 50672 Köln,50.9439275,6.9422668,
